prot_00001	FIG00066425	308	45	308	DNA polymerase III beta subunit (EC 2.7.7.7)
prot_00520	FIG00836057	74	10	74	membrane export protein family
prot_00521	FIG00000538	96	14	96	Uracil-DNA glycosylase, family 1
prot_00522	FIG00000538	37	5	37	Uracil-DNA glycosylase, family 1
prot_00523	FIG00111447	238	37	238	Substrate-specific component FolT of folate ECF transporter / Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
prot_00524	FIG00111447	108	15	108	Substrate-specific component FolT of folate ECF transporter / Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
prot_00526	FIG00000359	23	4	23	Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)
prot_00527	FIG00000359	84	14	84	Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)
prot_00528	FIG00000359	133	19	133	Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)
prot_00529	FIG00000399	393	57	393	Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)
prot_00530	FIG00834059	76	11	76	FIG00834062: hypothetical protein
prot_00531	FIG00834059	96	15	96	FIG00834062: hypothetical protein
prot_00532		245	37	245	Thioredoxin reductase (EC 1.8.1.9)
prot_00533		198	27	198	FIG001886: Cytoplasmic hypothetical protein
prot_00534	FIG00834144	26	6	26	FIG00834146: hypothetical protein
prot_00535	FIG00000308	40	6	40	3'-to-5' exoribonuclease RNase R
prot_00536	FIG00000308	271	38	271	3'-to-5' exoribonuclease RNase R
prot_00537	FIG00000308	43	6	43	3'-to-5' exoribonuclease RNase R
prot_00538	FIG00000308	174	26	174	3'-to-5' exoribonuclease RNase R
prot_00539	FIG00834179	151	22	151	Uncharacterized protein MG105
prot_00540	FIG00000017	32	5	32	Peptide deformylase (EC 3.5.1.88)
prot_00541	FIG00000017	52	7	52	Peptide deformylase (EC 3.5.1.88)
prot_00542	FIG00000017	46	7	46	Peptide deformylase (EC 3.5.1.88)
prot_00543	FIG00000131	47	7	47	Guanylate kinase (EC 2.7.4.8)
prot_00544	FIG00000131	88	13	88	Guanylate kinase (EC 2.7.4.8)
prot_00545	FIG00134722	102	15	102	Protein serine/threonine phosphatase PrpC, regulation of stationary phase
prot_00546	FIG00134722	97	15	98	Protein serine/threonine phosphatase PrpC, regulation of stationary phase
prot_00547	FIG00134246	261	38	261	Serine/threonine protein kinase PrkC, regulator of stationary phase, short form
prot_00548	FIG00134246	33	6	33	Serine/threonine protein kinase PrkC, regulator of stationary phase, short form
prot_00550	FIG00000464	141	21	141	Ribosome small subunit-stimulated GTPase EngC
prot_00551	FIG00000245	107	16	107	Glucose-6-phosphate isomerase (EC 5.3.1.9)
prot_00552	FIG00000245	94	14	94	Glucose-6-phosphate isomerase (EC 5.3.1.9)
prot_00553	FIG00000245	140	20	141	Glucose-6-phosphate isomerase (EC 5.3.1.9)
prot_00554	FIG00000047	173	25	173	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
prot_00555	FIG00000636	325	50	325	Asparaginyl-tRNA synthetase (EC 6.1.1.22)
prot_00556	FIG00001550	25	5	25	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
prot_00557	FIG00001550	34	6	34	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
prot_00559	FIG01304043	113	18	113	Competence/damage-inducible protein CinA
prot_00560	FIG00835802	206	30	206	FIG00835803: hypothetical protein
prot_00561	FIG00837628	46	8	46	FIG00837629: hypothetical protein
prot_00562	FIG00837628	95	14	95	FIG00837629: hypothetical protein
prot_00563	FIG00022300	191	29	191	UDP-glucose 4-epimerase (EC 5.1.3.2)
prot_00564	FIG00022300	76	11	76	UDP-glucose 4-epimerase (EC 5.1.3.2)
prot_00565	FIG00835764	196	32	196	Methylgalactoside permease ATP-binding protein
prot_00566	FIG00835764	88	13	88	Methylgalactoside permease ATP-binding protein
prot_00567	FIG00835764	77	12	77	Methylgalactoside permease ATP-binding protein
prot_00568	FIG00835727	172	26	172	COG4603: ABC-type uncharacterized transport system, permease component
prot_00569	FIG00835727	170	26	170	COG4603: ABC-type uncharacterized transport system, permease component
prot_00570	FIG00834321	40	7	40	COG1079: Uncharacterized ABC-type transport system, permease component
prot_00572	FIG00834321	107	17	107	COG1079: Uncharacterized ABC-type transport system, permease component
prot_00573	FIG00834321	41	6	41	COG1079: Uncharacterized ABC-type transport system, permease component
prot_00574	FIG00000204	46	6	46	DNA topoisomerase I (EC 5.99.1.2)
prot_00576	FIG00000204	73	11	73	DNA topoisomerase I (EC 5.99.1.2)
prot_00577	FIG00000204	430	61	430	DNA topoisomerase I (EC 5.99.1.2)
prot_00578	FIG00833882	67	10	67	FIG00833885: hypothetical protein
prot_00579	FIG00833882	69	11	69	FIG00833885: hypothetical protein
prot_00580	FIG00833882	130	18	130	FIG00833885: hypothetical protein
prot_00582	FIG00004487	39	6	39	Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)
prot_00583	FIG00836794	105	16	105	FIG00836795: hypothetical protein
prot_00584	FIG00836794	92	13	92	FIG00836795: hypothetical protein
prot_00585	FIG00000055	282	42	282	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)
prot_00586	FIG00646655	115	17	115	Regulatory protein spx
prot_00587	FIG00000075	209	30	209	NAD kinase (EC 2.7.1.23)
prot_00588	FIG00835295	75	12	75	FIG00835296: hypothetical protein
prot_00589	FIG00835401	352	52	352	uncharacterized domain HDIG
prot_00590	FIG00835401	43	6	43	uncharacterized domain HDIG
prot_00591	FIG00834652	73	11	73	FIG00834653: hypothetical protein
prot_00592	FIG00836492	38	7	40	FIG00836494: hypothetical protein
prot_00594	FIG00000494	38	6	39	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00595	FIG00834959	48	8	48	FIG00834960: hypothetical protein
prot_00596	FIG00537186	97	16	97	Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases
prot_00597	FIG00834381	50	7	50	Uncharacterized protein MG133
prot_00598	FIG00834381	122	18	122	Uncharacterized protein MG133
prot_00599	FIG00835159	76	12	76	FIG000557: hypothetical protein co-occurring with RecR
prot_00600	FIG00835175	36	6	36	FIG00835178: hypothetical protein
prot_00601	FIG00835175	129	20	129	FIG00835178: hypothetical protein
prot_00602	FIG00000300	113	17	113	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)
prot_00603	FIG00000300	113	17	113	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)
prot_00604	FIG00000300	126	19	126	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)
prot_00606	FIG00003472	200	27	200	UDP-galactopyranose mutase (EC 5.4.99.9)
prot_00607	FIG00003472	84	11	84	UDP-galactopyranose mutase (EC 5.4.99.9)
prot_00608	FIG00000165	478	70	478	Translation elongation factor LepA
prot_00609	FIG00060571	457	67	457	Ribonuclease J1 (endonuclease and 5' exonuclease)
prot_00611	FIG00837609	34	8	36	FIG00837614: hypothetical protein
prot_00613	FIG00837609	9	4	10	FIG00837614: hypothetical protein
prot_00614	FIG00833919	186	28	186	FIG00833920: hypothetical protein
prot_00615	FIG00837609	8	2	9	FIG00837614: hypothetical protein
prot_00619	FIG00837609	34	8	36	FIG00837614: hypothetical protein
prot_00620	FIG00837609	32	9	34	FIG00837614: hypothetical protein
prot_00621	FIG00000494	24	4	24	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00622	FIG00000494	121	24	122	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00623	FIG00000494	43	8	43	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00630	FIG00837609	31	7	33	FIG00837614: hypothetical protein
prot_00631	FIG00837609	26	10	32	FIG00837614: hypothetical protein
prot_00632	FIG00837609	9	3	10	FIG00837614: hypothetical protein
prot_00633	FIG00000494	55	10	55	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00634	FIG00000494	81	14	82	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00635	FIG00000247	160	24	160	TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA
prot_00636	FIG00000124	84	12	85	Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)
prot_00637	FIG00000124	110	16	110	Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)
prot_00638	FIG00000124	26	5	26	Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)
prot_00639	FIG00000081	83	13	83	Lipoprotein signal peptidase (EC 3.4.23.36)
prot_00640	FIG01671040	175	24	175	predicted intracellular protease
prot_00641	FIG00835710	26	5	26	FIG00835711: hypothetical protein
prot_00642	FIG00835710	63	10	63	FIG00835711: hypothetical protein
prot_00643	FIG00000178	41	7	41	SSU ribosomal protein S21p
prot_00644	FIG00836819	110	17	110	FIG00836825: hypothetical protein
prot_00645	FIG00000540	97	14	97	Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)
prot_00646	FIG00005243	90	14	90	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
prot_00647	FIG00005243	114	16	114	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
prot_00648	FIG00100407	82	13	82	Dihydrofolate reductase (EC 1.5.1.3) / Segregation and condensation protein A
prot_00649	FIG00100407	131	20	131	Dihydrofolate reductase (EC 1.5.1.3) / Segregation and condensation protein A
prot_00650	FIG00100407	100	17	100	Dihydrofolate reductase (EC 1.5.1.3) / Segregation and condensation protein A
prot_00651	FIG00133569	156	24	156	Segregation and condensation protein B
prot_00652	FIG00058830	267	39	267	6-phosphofructokinase (EC 2.7.1.11)
prot_00653	FIG00000043	191	29	191	Pyruvate kinase (EC 2.7.1.40)
prot_00654	FIG00000043	85	12	85	Pyruvate kinase (EC 2.7.1.40)
prot_00655	FIG00000043	92	14	92	Pyruvate kinase (EC 2.7.1.40)
prot_00657	FIG00001104	73	11	73	Arginine deiminase (EC 3.5.3.6)
prot_00658	FIG00001104	91	13	91	Arginine deiminase (EC 3.5.3.6)
prot_00659	FIG00001104	61	9	61	Arginine deiminase (EC 3.5.3.6)
prot_00660	FIG00001104	62	10	62	Arginine deiminase (EC 3.5.3.6)
prot_00661	FIG00000084	74	11	74	Ornithine carbamoyltransferase (EC 2.1.3.3)
prot_00662	FIG00000084	78	13	78	Ornithine carbamoyltransferase (EC 2.1.3.3)
prot_00663	FIG00000084	84	12	85	Ornithine carbamoyltransferase (EC 2.1.3.3)
prot_00664	FIG00000762	232	35	232	Carbamate kinase (EC 2.7.2.2)
prot_00665	FIG01321571	186	30	186	aa_permeases
prot_00666	FIG01321571	42	7	42	aa_permeases
prot_00667	FIG01321571	51	8	51	aa_permeases
prot_00668	FIG01321571	69	11	69	aa_permeases
prot_00670	FIG00835361	48	8	48	proline-rich P65 protein
prot_00671	FIG00835361	44	7	44	proline-rich P65 protein
prot_00672	FIG00834531	92	15	92	FIG00834532: hypothetical protein
prot_00673	FIG00834531	26	4	26	FIG00834532: hypothetical protein
prot_00674	FIG00834531	229	35	229	FIG00834532: hypothetical protein
prot_00675	FIG00834531	739	115	739	FIG00834532: hypothetical protein
prot_00676	FIG00834531	115	19	115	FIG00834532: hypothetical protein
prot_00677	FIG00835097	285	42	285	FIG00835098: hypothetical protein
prot_00678	FIG00834289	127	22	127	FIG00834290: hypothetical protein
prot_00679	FIG00836551	48	7	48	FIG00836556: hypothetical protein
prot_00681	FIG00000547	105	16	105	Cell division protein MraZ
prot_00682	FIG00000172	246	36	246	rRNA small subunit methyltransferase H
prot_00683	FIG00834276	311	44	311	FIG00834277: hypothetical protein
prot_00685	FIG00000145	219	31	219	Cell division protein FtsZ (EC 3.4.24.-)
prot_00686	FIG00000145	40	6	40	Cell division protein FtsZ (EC 3.4.24.-)
prot_00690	FIG00836861	70	11	70	FIG00836867: hypothetical protein
prot_00691	FIG00836861	33	5	33	FIG00836867: hypothetical protein
prot_00692	FIG00836861	142	21	142	FIG00836867: hypothetical protein
prot_00693	FIG00836861	54	8	54	FIG00836867: hypothetical protein
prot_00694	FIG00000398	35	6	35	Thymidylate synthase (EC 2.1.1.45)
prot_00695	FIG00000398	105	14	105	Thymidylate synthase (EC 2.1.1.45)
prot_00696	FIG00000048	101	14	101	Dihydrofolate reductase (EC 1.5.1.3)
prot_00698	FIG00000960	172	26	172	Ribonucleotide reductase of class Ib (aerobic), beta subunit (EC 1.17.4.1)
prot_00699	FIG00001039	104	15	104	Ribonucleotide reduction protein NrdI
prot_00700	FIG00001069	405	60	405	Ribonucleotide reductase of class Ib (aerobic), alpha subunit (EC 1.17.4.1)
prot_00701	FIG00001069	103	16	103	Ribonucleotide reductase of class Ib (aerobic), alpha subunit (EC 1.17.4.1)
prot_00702	FIG00000276	83	12	83	LSU ribosomal protein L21p
prot_00703	FIG00007256	71	11	71	FIG139598: Potential ribosomal protein
prot_00704	FIG00000189	83	12	83	LSU ribosomal protein L27p
prot_00705	FIG00000899	238	33	238	Endonuclease IV (EC 3.1.21.2)
prot_00706	FIG00836346	128	18	128	FIG00836347: hypothetical protein
prot_00707	FIG00835189	235	35	235	FIG00835193: hypothetical protein
prot_00708	FIG00000286	326	49	326	Cell division trigger factor (EC 5.2.1.8)
prot_00709	FIG00132617	256	38	256	ATP-dependent protease La (EC 3.4.21.53) Type I
prot_00710	FIG00132617	329	51	329	ATP-dependent protease La (EC 3.4.21.53) Type I
prot_00715	FIG00450796	68	10	68	ABC transporter ATP-binding protein
prot_00716	FIG00450796	57	9	57	ABC transporter ATP-binding protein
prot_00720	FIG00068973	79	13	79	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) / Hydrolase (HAD superfamily), YqeK
prot_00721	FIG00068973	85	13	85	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) / Hydrolase (HAD superfamily), YqeK
prot_00722	FIG00837454	122	18	122	FIG00837455: hypothetical protein
prot_00724	FIG00837454	38	6	38	FIG00837455: hypothetical protein
prot_00725	FIG00837454	137	19	137	FIG00837455: hypothetical protein
prot_00726	FIG00837454	80	12	80	FIG00837455: hypothetical protein
prot_00727	FIG00834424	274	40	274	FIG00834426: hypothetical protein
prot_00728	FIG00834424	135	19	135	FIG00834426: hypothetical protein
prot_00729	FIG00834424	66	11	66	FIG00834426: hypothetical protein
prot_00730	FIG00834211	74	11	74	FIG00834213: hypothetical protein
prot_00731	FIG00834211	45	7	45	FIG00834213: hypothetical protein
prot_00732	FIG00000372	386	58	387	ATP-dependent DNA helicase UvrD/PcrA
prot_00733	FIG00000372	175	26	175	ATP-dependent DNA helicase UvrD/PcrA
prot_00734	FIG00000372	35	5	35	ATP-dependent DNA helicase UvrD/PcrA
prot_00735	FIG00000372	34	6	34	ATP-dependent DNA helicase UvrD/PcrA
prot_00736	FIG00000372	201	30	201	ATP-dependent DNA helicase UvrD/PcrA
prot_00737	FIG00000477	166	25	166	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)
prot_00738	FIG00000477	164	23	164	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)
prot_00739	FIG00000494	47	7	47	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00740	FIG00000494	118	17	118	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00741	FIG00000494	37	6	37	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00744	FIG00016514	64	10	64	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)
prot_00751	FIG00000252	141	20	141	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)
prot_00753	FIG00000459	42	7	42	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY
prot_00754	FIG00000459	101	17	101	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY
prot_00755	FIG00008776	54	8	54	Putative tRNA-m1A22 methylase
prot_00756	FIG00008776	104	15	104	Putative tRNA-m1A22 methylase
prot_00757	FIG00038814	374	57	374	RNA polymerase sigma factor RpoD
prot_00758	FIG00019251	58	8	58	DNA primase (EC 2.7.7.-)
prot_00759	FIG00019251	103	16	103	DNA primase (EC 2.7.7.-)
prot_00760	FIG00019251	97	16	97	DNA primase (EC 2.7.7.-)
prot_00761	FIG00019251	26	4	26	DNA primase (EC 2.7.7.-)
prot_00762	FIG00019251	64	9	64	DNA primase (EC 2.7.7.-)
prot_00763	FIG00001189	195	29	195	Glycyl-tRNA synthetase (EC 6.1.1.14)
prot_00764	FIG00001189	58	9	58	Glycyl-tRNA synthetase (EC 6.1.1.14)
prot_00765	FIG01306479	133	19	133	23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)
prot_00766	FIG00000086	79	12	79	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
prot_00767	FIG00000086	65	10	65	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
prot_00768	FIG00000086	127	19	127	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
prot_00769	FIG00051439	320	48	320	DNA ligase (EC 6.5.1.2)
prot_00770	FIG00051439	175	27	175	DNA ligase (EC 6.5.1.2)
prot_00775	FIG00836134	109	15	109	FIG00836137: hypothetical protein
prot_00776	FIG00836134	107	15	107	FIG00836137: hypothetical protein
prot_00777	FIG01956156	76	12	76	LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent
prot_00778	FIG00000188	94	16	94	Peptide chain release factor 1
prot_00779	FIG00000188	126	19	126	Peptide chain release factor 1
prot_00780	FIG00137128	26	4	26	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA / Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2
prot_00781	FIG00137128	113	16	113	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA / Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2
prot_00782	FIG00137128	38	6	38	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA / Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2
prot_00783	FIG00837609	16	6	20	FIG00837614: hypothetical protein
prot_00784	FIG00837609	33	9	35	FIG00837614: hypothetical protein
prot_00785	FIG00000494	48	7	48	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00786	FIG00000494	115	17	115	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00794	FIG00836492	53	9	53	FIG00836494: hypothetical protein
prot_00795	FIG00836492	57	9	57	FIG00836494: hypothetical protein
prot_00817	FIG00836576	444	64	444	FIG00836579: hypothetical protein
prot_00818	FIG00836576	74	10	74	FIG00836579: hypothetical protein
prot_00819	FIG00836576	98	13	98	FIG00836579: hypothetical protein
prot_00821	FIG00834322	39	7	39	FIG00834323: hypothetical protein
prot_00822	FIG00008411	149	21	149	DNA polymerase III alpha subunit (EC 2.7.7.7)
prot_00823	FIG00008411	21	4	21	DNA polymerase III alpha subunit (EC 2.7.7.7)
prot_00824	FIG00008411	369	55	369	DNA polymerase III alpha subunit (EC 2.7.7.7)
prot_00825	FIG00008411	62	9	62	DNA polymerase III alpha subunit (EC 2.7.7.7)
prot_00827	FIG00035634	232	34	232	Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)
prot_00828	FIG01312438	47	8	47	HAD superfamily hydrolase/phosphatase
prot_00829	FIG01312438	58	9	58	HAD superfamily hydrolase/phosphatase
prot_00830	FIG00000267	66	11	66	Dephospho-CoA kinase (EC 2.7.1.24)
prot_00831	FIG00002113	233	34	233	HMP-PP hydrolase (pyridoxal phosphatase) Cof, detected in genetic screen for thiamin metabolic genes (PMID:15292217)
prot_00832	FIG00000114	138	20	138	Leucyl-tRNA synthetase (EC 6.1.1.4)
prot_00833	FIG00000114	103	16	103	Leucyl-tRNA synthetase (EC 6.1.1.4)
prot_00834	FIG00000114	197	28	197	Leucyl-tRNA synthetase (EC 6.1.1.4)
prot_00835	FIG00000114	44	7	45	Leucyl-tRNA synthetase (EC 6.1.1.4)
prot_00836	FIG00000114	31	5	31	Leucyl-tRNA synthetase (EC 6.1.1.4)
prot_00837	FIG00834694	18	3	18	FIG00834695: hypothetical protein
prot_00838	FIG00834694	44	7	44	FIG00834695: hypothetical protein
prot_00839	FIG00000938	98	14	98	Deoxyadenosine kinase (EC 2.7.1.76) / Deoxyguanosine kinase (EC 2.7.1.113)
prot_00840	FIG00000938	88	13	88	Deoxyadenosine kinase (EC 2.7.1.76) / Deoxyguanosine kinase (EC 2.7.1.113)
prot_00841	FIG00836293	298	43	298	FIG00836294: hypothetical protein
prot_00842	FIG00834038	103	15	103	Uncharacterized protein MG269.1 homolog
prot_00843	FIG00000465	53	8	53	Lipoate-protein ligase A
prot_00844	FIG00000465	207	28	207	Lipoate-protein ligase A
prot_00845	FIG01303880	250	41	250	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)
prot_00846	FIG01303880	40	7	40	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)
prot_00847	FIG00136675	247	41	247	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)
prot_00848	FIG00025527	47	8	47	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)
prot_00849	FIG00025527	151	26	151	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)
prot_00850	FIG00053889	52	9	52	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)
prot_00852	FIG00053889	37	6	37	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)
prot_00853	FIG00053889	43	7	43	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)
prot_00854	FIG01370319	24	4	24	Putative pyridine nucleotide-disulphide oxidoreductase
prot_00855	FIG01370319	166	24	166	Putative pyridine nucleotide-disulphide oxidoreductase
prot_00856	FIG01370319	45	6	45	Putative pyridine nucleotide-disulphide oxidoreductase
prot_00857	FIG01370319	72	12	72	Putative pyridine nucleotide-disulphide oxidoreductase
prot_00858	FIG00000277	132	20	132	Adenine phosphoribosyltransferase (EC 2.4.2.7)
prot_00862	FIG00835442	9	2	9	FIG00835447: hypothetical protein
prot_00864	FIG00005237	370	55	370	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I
prot_00865	FIG00005237	65	9	65	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I
prot_00866	FIG00005237	66	9	66	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I
prot_00867	FIG00835891	157	25	157	FIG00835895: hypothetical protein
prot_00868	FIG00834341	197	31	197	FIG00834342: hypothetical protein
prot_00869	FIG00835819	134	19	134	FIG00835825: hypothetical protein
prot_00870	FIG00835819	236	33	236	FIG00835825: hypothetical protein
prot_00873	FIG00000288	109	19	109	Transcription elongation factor GreA
prot_00875	FIG01955779	53	8	53	Prolyl-tRNA synthetase (EC 6.1.1.15), archaeal/eukaryal type
prot_00877	FIG01955779	41	6	42	Prolyl-tRNA synthetase (EC 6.1.1.15), archaeal/eukaryal type
prot_00878	FIG01955779	116	18	117	Prolyl-tRNA synthetase (EC 6.1.1.15), archaeal/eukaryal type
prot_00879	FIG00836817	111	15	111	FIG00836819: hypothetical protein
prot_00880	FIG00835609	46	7	46	FIG00835610: hypothetical protein
prot_00881	FIG00835609	76	10	76	FIG00835610: hypothetical protein
prot_00882	FIG00835609	119	18	119	FIG00835610: hypothetical protein
prot_00883	FIG00834672	137	19	137	FIG00834673: hypothetical protein
prot_00884	FIG00002328	57	9	57	Acyl carrier protein
prot_00895	FIG00837609	174	25	174	FIG00837614: hypothetical protein
prot_00897	FIG00837609	209	32	209	FIG00837614: hypothetical protein
prot_00898	FIG00837609	76	12	76	FIG00837614: hypothetical protein
prot_00905	FIG00836492	73	10	73	FIG00836494: hypothetical protein
prot_00906	FIG00836492	47	9	48	FIG00836494: hypothetical protein
prot_00913	FIG00834141	123	18	123	Extracytoplasmic thiamin (pyrophosphate?) binding lipoprotein p37, specific for Mycoplasma
prot_00914	FIG00834141	27	4	27	Extracytoplasmic thiamin (pyrophosphate?) binding lipoprotein p37, specific for Mycoplasma
prot_00915	FIG00834141	50	7	50	Extracytoplasmic thiamin (pyrophosphate?) binding lipoprotein p37, specific for Mycoplasma
prot_00916	FIG01962723	62	10	63	ABC transporter ATP-binding protein, associated with thiamin (pyrophosphate?) binding lipoprotein p37
prot_00917	FIG01965788	78	14	78	ABC transporter ATP-binding protein, associated with thiamin (pyrophosphate?) binding lipoprotein p37
prot_00918	FIG00835107	60	9	60	Transport system permease protein, associated with thiamin (pyrophosphate?) binding lipoprotein p37
prot_00919	FIG00835107	45	8	45	Transport system permease protein, associated with thiamin (pyrophosphate?) binding lipoprotein p37
prot_00920	FIG00835107	124	20	124	Transport system permease protein, associated with thiamin (pyrophosphate?) binding lipoprotein p37
prot_00921	FIG00835107	39	6	39	Transport system permease protein, associated with thiamin (pyrophosphate?) binding lipoprotein p37
prot_00923	FIG00000139	123	18	123	Alanyl-tRNA synthetase (EC 6.1.1.7)
prot_00924	FIG00000139	69	10	69	Alanyl-tRNA synthetase (EC 6.1.1.7)
prot_00925	FIG00000139	163	22	163	Alanyl-tRNA synthetase (EC 6.1.1.7)
prot_00926	FIG00000139	34	5	34	Alanyl-tRNA synthetase (EC 6.1.1.7)
prot_00927	FIG00000139	131	19	131	Alanyl-tRNA synthetase (EC 6.1.1.7)
prot_00928	FIG00000139	36	5	36	Alanyl-tRNA synthetase (EC 6.1.1.7)
prot_00929	FIG00002239	127	20	127	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)
prot_00930	FIG01209784	151	24	151	permease
prot_00931	FIG01209784	71	11	71	permease
prot_00932	FIG01209784	84	15	84	permease
prot_00933	FIG00000626	72	11	72	tRNA-specific 2-thiouridylase MnmA
prot_00934	FIG00000626	92	13	92	tRNA-specific 2-thiouridylase MnmA
prot_00935	FIG00000626	58	10	58	tRNA-specific 2-thiouridylase MnmA
prot_00936	FIG00835485	100	15	100	FIG00835486: hypothetical protein
prot_00937	FIG00001470	83	12	83	Signal recognition particle associated protein
prot_00938	FIG00000095	98	16	98	Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)
prot_00939	FIG00000095	136	21	136	Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)
prot_00940	FIG00026918	610	97	610	Chromosome partition protein smc
prot_00941	FIG00026918	87	14	87	Chromosome partition protein smc
prot_00942	FIG01727674	238	35	238	hydrolase/phosphatase
prot_00943	FIG00000522	220	33	220	Phosphate acetyltransferase (EC 2.3.1.8)
prot_00944	FIG00054459	59	11	59	Phosphoglycerate kinase (EC 2.7.2.3)
prot_00945	FIG00054459	108	18	108	Phosphoglycerate kinase (EC 2.7.2.3)
prot_00946	FIG00054459	99	18	99	Phosphoglycerate kinase (EC 2.7.2.3)
prot_00947	FIG00132586	159	26	159	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)
