prot_00001	FIG00042616	94	13	94	Dihydroxyacetone kinase family protein
prot_00438	FIG00001650	146	20	146	Histone acetyltransferase HPA2 and related acetyltransferases
prot_00441	FIG00432360	128	18	128	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
prot_00442	FIG00432360	62	10	62	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
prot_00443	FIG00432360	40	6	40	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
prot_00444	FIG00432360	44	7	44	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
prot_00445	FIG00432360	58	9	58	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
prot_00446	FIG00432360	111	18	111	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
prot_00447	FIG01196473	14	3	15	unique hypothetical
prot_00448	FIG01196529	19	5	20	unique hypothetical
prot_00449	FIG01196236	17	4	18	unique hypothetical
prot_00452	FIG01196003	18	4	19	unique hypothetical
prot_00453	FIG01605816	9	4	11	unique hypothetical
prot_00454	FIG01196480	42	9	44	unique hypothetical
prot_00455	FIG01196334	211	40	215	unique hypothetical
prot_00456	FIG01195618	64	12	65	unique hypothetical
prot_00457	FIG00045393	46	9	46	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)
prot_00458	FIG00045393	166	27	166	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)
prot_00459	FIG00945384	46	9	46	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)
prot_00460	FIG00945384	52	11	52	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)
prot_00461	FIG00945384	129	20	129	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)
prot_00462	FIG00455853	47	9	47	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)
prot_00463	FIG00455853	36	6	36	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)
prot_00464	FIG00455853	47	8	47	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)
prot_00465	FIG00455853	28	4	28	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)
prot_00466	FIG00945384	43	7	43	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)
prot_00467	FIG00945384	52	8	52	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)
prot_00468	FIG00945384	58	10	58	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)
prot_00469	FIG01336016	45	7	45	unique hypothetical
prot_00470	FIG01196452	11	2	12	unique hypothetical
prot_00471	FIG01195987	27	5	27	FIG01195989: hypothetical protein
prot_00472	FIG01195987	119	20	119	FIG01195989: hypothetical protein
prot_00473	FIG01196199	42	6	42	FIG01196200: hypothetical protein
prot_00474	FIG01195627	82	13	82	FIG01195628: hypothetical protein
prot_00475	FIG01195627	71	11	71	FIG01195628: hypothetical protein
prot_00476	FIG00000214	98	15	98	LSU ribosomal protein L19p
prot_00477	FIG00000230	177	26	177	tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)
prot_00478	FIG00000193	53	9	53	SSU ribosomal protein S16p
prot_00479	FIG00002113	86	14	86	HMP-PP hydrolase (pyridoxal phosphatase) Cof, detected in genetic screen for thiamin metabolic genes (PMID:15292217)
prot_00480	FIG00002113	49	8	49	HMP-PP hydrolase (pyridoxal phosphatase) Cof, detected in genetic screen for thiamin metabolic genes (PMID:15292217)
prot_00481	FIG00060571	23	4	23	Ribonuclease J1 (endonuclease and 5' exonuclease)
prot_00482	FIG00060571	428	63	428	Ribonuclease J1 (endonuclease and 5' exonuclease)
prot_00483	FIG01196176	14	3	14	FIG01196178: hypothetical protein
prot_00484	FIG01196176	37	6	37	FIG01196178: hypothetical protein
prot_00485	FIG01196176	39	6	39	FIG01196178: hypothetical protein
prot_00486	FIG01196176	29	4	29	FIG01196178: hypothetical protein
prot_00487	FIG01196176	62	11	62	FIG01196178: hypothetical protein
prot_00488	FIG01196176	227	34	227	FIG01196178: hypothetical protein
prot_00489	FIG01196176	107	16	107	FIG01196178: hypothetical protein
prot_00490	FIG01195634	33	6	33	FIG01195635: hypothetical protein
prot_00491	FIG01195634	326	50	326	FIG01195635: hypothetical protein
prot_00492	FIG01195634	44	7	44	FIG01195635: hypothetical protein
prot_00493	FIG00001086	152	21	152	Potassium voltage-gated channel subfamily KQT; possible potassium channel, VIC family
prot_00494	FIG00001086	143	21	143	Potassium voltage-gated channel subfamily KQT; possible potassium channel, VIC family
prot_00496	FIG01193496	33	5	34	Glycosyltransferase (EC 2.4.1.-)
prot_00497	FIG01193496	28	4	28	Glycosyltransferase (EC 2.4.1.-)
prot_00498	FIG01195933	58	9	58	FIG01195935: hypothetical protein
prot_00499	FIG01195933	24	5	25	FIG01195935: hypothetical protein
prot_00500	FIG00001110	103	16	103	SSU ribosomal protein S9p (S16e)
prot_00501	FIG00000211	32	6	32	LSU ribosomal protein L13p (L13Ae)
prot_00502	FIG01195751	32	6	32	putative ABC substrate-binding protein - iron
prot_00503	FIG01195751	47	8	47	putative ABC substrate-binding protein - iron
prot_00504	FIG01195751	31	5	31	putative ABC substrate-binding protein - iron
prot_00505		45	7	45	putative ABC substrate-binding protein - iron
prot_00506	FIG01345058	33	6	33	Amino acid permease
prot_00507	FIG01345058	210	32	210	Amino acid permease
prot_00508	FIG01345058	51	7	51	Amino acid permease
prot_00509	FIG00001219	122	19	122	Preprotein translocase subunit SecE (TC 3.A.5.1.1)
prot_00510	FIG00000269	109	17	109	Transcription antitermination protein NusG
prot_00511	FIG00007296	72	11	73	DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)
prot_00512	FIG00007296	58	9	58	DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)
prot_00513	FIG00007296	138	23	138	DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)
prot_00514	FIG01199987	78	12	78	Na+ driven multidrug efflux pump
prot_00515	FIG01199987	69	11	69	Na+ driven multidrug efflux pump
prot_00516	FIG01199987	133	19	133	Na+ driven multidrug efflux pump
prot_00517	FIG01199987	75	11	75	Na+ driven multidrug efflux pump
prot_00518	FIG01199987	107	16	107	Na+ driven multidrug efflux pump
prot_00519	FIG00000450	131	21	131	Deoxyribose-phosphate aldolase (EC 4.1.2.4)
prot_00520	FIG00020289	232	35	232	Transketolase (EC 2.2.1.1)
prot_00521	FIG00020289	109	17	109	Transketolase (EC 2.2.1.1)
prot_00522	FIG00020289	39	6	39	Transketolase (EC 2.2.1.1)
prot_00524	FIG00052605	87	13	87	Cardiolipin synthetase (EC 2.7.8.-)
prot_00525	FIG00052605	70	11	70	Cardiolipin synthetase (EC 2.7.8.-)
prot_00526	FIG00052605	98	13	98	Cardiolipin synthetase (EC 2.7.8.-)
prot_00527	FIG01318274	57	8	57	Thioredoxin
prot_00528	FIG01318274	13	2	14	Thioredoxin
prot_00529	FIG00000204	26	4	26	DNA topoisomerase I (EC 5.99.1.2)
prot_00530	FIG00000204	44	7	44	DNA topoisomerase I (EC 5.99.1.2)
prot_00531	FIG00000204	66	11	66	DNA topoisomerase I (EC 5.99.1.2)
prot_00532	FIG00000204	27	5	27	DNA topoisomerase I (EC 5.99.1.2)
prot_00533	FIG00000204	35	6	35	DNA topoisomerase I (EC 5.99.1.2)
prot_00534	FIG00000204	39	6	39	DNA topoisomerase I (EC 5.99.1.2)
prot_00535	FIG01196573	110	16	110	DNA processing protein SMF
prot_00536	FIG00000840	134	19	134	50S ribosomal subunit maturation GTPase RbgA (B. subtilis YlqF)
prot_00537	FIG00000840	34	6	34	50S ribosomal subunit maturation GTPase RbgA (B. subtilis YlqF)
prot_00539	FIG00000655	152	23	152	Thymidine kinase (EC 2.7.1.21)
prot_00540	FIG00049915	49	7	49	GTP-binding and nucleic acid-binding protein YchF
prot_00541	FIG00049915	230	35	230	GTP-binding and nucleic acid-binding protein YchF
prot_00542	FIG00000370	55	10	55	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
prot_00543	FIG00000370	100	15	100	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
prot_00544	FIG00001543	50	8	50	DNA-directed RNA polymerase delta subunit (EC 2.7.7.6)
prot_00545	FIG00001543	51	8	51	DNA-directed RNA polymerase delta subunit (EC 2.7.7.6)
prot_00549	FIG00000686	154	23	154	Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)
prot_00550	FIG00000686	160	25	160	Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)
prot_00551	FIG00000686	24	4	24	Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)
prot_00552	FIG00000377	157	23	157	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)
prot_00553	FIG00000225	146	21	146	SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)
prot_00554	FIG00000225	36	6	36	SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)
prot_00556	FIG00002818	75	11	75	Inner membrane protein translocase component YidC, long form
prot_00557	FIG00002818	51	8	51	Inner membrane protein translocase component YidC, long form
prot_00558	FIG00092649	88	14	88	Ribonuclease P protein component (EC 3.1.26.5)
prot_00559	FIG00000471	35	5	35	LSU ribosomal protein L34p
prot_00560	FIG00000441	273	40	273	Chromosomal replication initiator protein DnaA
prot_00561	FIG01956156	75	10	75	LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent
prot_00562	FIG00000188	105	16	105	Peptide chain release factor 1
prot_00563	FIG00000188	61	9	61	Peptide chain release factor 1
prot_00564	FIG00003217	240	34	240	Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2
prot_00565	FIG00012971	50	7	50	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
prot_00566	FIG00012971	51	8	51	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
prot_00567	FIG00135914	106	18	106	Ribose 5-phosphate isomerase B (EC 5.3.1.6) / Galactose 6-phosphate isomerase
prot_00568	FIG00012971	53	10	53	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
prot_00569	FIG00012971	38	6	38	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
prot_00570	FIG00012971	33	5	33	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
prot_00572	FIG00437800	109	19	109	Mg/Co/Ni transporter MgtE / CBS domain
prot_00573	FIG00437800	56	12	56	Mg/Co/Ni transporter MgtE / CBS domain
prot_00574	FIG00000159	132	19	132	LSU ribosomal protein L10p (P0)
prot_00575	FIG00000141	61	12	61	LSU ribosomal protein L7/L12 (P1/P2)
prot_00577	FIG01630116	28	6	30	putative lipoprotein
prot_00579	FIG01195460	142	23	142	Ribose/galactose ABC transporter
prot_00580	FIG01359558	62	14	64	Sugar ABC transporter, permease protein
prot_00581	FIG01420177	52	10	53	Sugar ABC transporter, permease protein
prot_00583	FIG01196426	47	7	47	Sugar ABC transporter, permease protein
prot_00585	FIG01304538	329	56	329	Unspecified monosaccharide ABC transport system, ATP-binding protein
prot_00586	FIG01196114	47	9	47	Unique hypothetical membrane lipoprotein
prot_00587	FIG01196114	104	17	104	Unique hypothetical membrane lipoprotein
prot_00588	FIG00000184	217	32	217	Putative deoxyribonuclease YcfH
prot_00589	FIG00000279	330	50	330	GTPase and tRNA-U34 5-formylation enzyme TrmE
prot_00590	FIG00057709	216	32	216	DNA polymerase III delta prime subunit (EC 2.7.7.7)
prot_00591	FIG00000175	187	27	187	Thymidylate kinase (EC 2.7.4.9)
prot_00592	FIG01195548	164	23	164	ESTERASE/LIPASE 1
prot_00593	FIG01195548	61	9	61	ESTERASE/LIPASE 1
prot_00594	FIG01196039	184	29	184	Ferrichrome transport system permease protein FhuG
prot_00595	FIG01196039	40	6	40	Ferrichrome transport system permease protein FhuG
prot_00596	FIG01195802	44	7	44	Ferrichrome ABC transporter
prot_00597	FIG01195802	136	21	136	Ferrichrome ABC transporter
prot_00598	FIG01195751	35	6	35	putative ABC substrate-binding protein - iron
prot_00599	FIG01195751	127	18	127	putative ABC substrate-binding protein - iron
prot_00600	FIG01195751	31	5	31	putative ABC substrate-binding protein - iron
prot_00601	FIG01195751	27	4	27	putative ABC substrate-binding protein - iron
prot_00602	FIG00148683	8	2	8	Ferrichrome transport system permease protein FhuB (TC 3.A.1.14.3)
prot_00603	FIG00148683	61	10	62	Ferrichrome transport system permease protein FhuB (TC 3.A.1.14.3)
prot_00604	FIG00148683	23	4	23	Ferrichrome transport system permease protein FhuB (TC 3.A.1.14.3)
prot_00605	FIG00037273	63	11	63	SSU ribosomal protein S2p (SAe)
prot_00606	FIG00037273	53	8	53	SSU ribosomal protein S2p (SAe)
prot_00607	FIG00037273	55	9	55	SSU ribosomal protein S2p (SAe)
prot_00608	FIG01195696	119	18	119	FIG01195697: hypothetical protein
prot_00609	FIG01195751	190	29	190	putative ABC substrate-binding protein - iron
prot_00610	FIG00001712	565	84	565	Transcription accessory protein (S1 RNA-binding domain)
prot_00611	FIG01195668	63	10	63	FIG01195670: hypothetical protein
prot_00612	FIG01195668	83	14	83	FIG01195670: hypothetical protein
prot_00613	FIG01195668	62	9	62	FIG01195670: hypothetical protein
prot_00614	FIG01195668	128	20	128	FIG01195670: hypothetical protein
prot_00616		84	11	84	unique hypothetical membrane lipoprotein
prot_00617	FIG01195466	13	3	13	FIG01195467: hypothetical protein
prot_00618	FIG01195838	25	4	25	Possible prophage ps3 protein01-like protein
prot_00619	FIG00000477	76	12	76	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)
prot_00620	FIG00000477	85	12	85	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)
prot_00621	FIG00000477	39	6	39	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)
prot_00622	FIG00000494	204	29	204	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00623	FIG00000494	50	8	50	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00624	FIG00000494	117	17	117	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00625	FIG00000494	91	15	91	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00626	FIG01349536	41	6	41	ATP-dependent DNA helicase
prot_00627	FIG01349536	41	6	41	ATP-dependent DNA helicase
prot_00628	FIG01349536	91	14	91	ATP-dependent DNA helicase
prot_00629	FIG00000576	46	8	46	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
prot_00630	FIG00000576	269	42	269	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
prot_00631	FIG00000521	57	10	57	rRNA small subunit 7-methylguanosine (m7G) methyltransferase GidB
prot_00632	FIG00000521	47	8	47	rRNA small subunit 7-methylguanosine (m7G) methyltransferase GidB
prot_00633	FIG00012971	63	12	64	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
prot_00634	FIG01195640	111	16	111	FIG01195641: hypothetical protein
prot_00635	FIG00837273	251	35	251	Prolipoprotein
prot_00636	FIG00837273	67	10	67	Prolipoprotein
prot_00637	FIG00837273	98	14	98	Prolipoprotein
prot_00638	FIG01195792	156	27	156	Siderophore-mediated iron transport protein
prot_00639	FIG01195792	63	9	63	Siderophore-mediated iron transport protein
prot_00640		36	7	36	Siderophore-mediated iron transport protein
prot_00641	FIG01195792	71	11	71	Siderophore-mediated iron transport protein
prot_00642		247	35	247	Prolipoprotein
prot_00643	FIG01195931	38	7	38	Prolipoprotein
prot_00644		68	11	68	Prolipoprotein
prot_00645	FIG00837273	32	5	32	Prolipoprotein
prot_00646		93	14	93	Prolipoprotein
prot_00647	FIG01195792	182	31	182	Siderophore-mediated iron transport protein
prot_00648	FIG01195792	37	7	37	Siderophore-mediated iron transport protein
prot_00649	FIG01195792	72	12	72	Siderophore-mediated iron transport protein
prot_00650		12	3	13	Prolipoprotein
prot_00651	FIG00837273	247	35	247	Prolipoprotein
prot_00652	FIG00837273	30	4	30	Prolipoprotein
prot_00653	FIG00837273	112	17	112	Prolipoprotein
prot_00654	FIG00837273	39	6	39	Prolipoprotein
prot_00655	FIG00837273	117	18	117	Prolipoprotein
prot_00656	FIG00834270	104	15	104	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_00660	FIG00834175	258	37	258	FIG059958: hypothetical in cluster with ATP synthase chains
prot_00661	FIG00834248	22	4	22	FIG187434: hypothetical protein in cluster with ATP synthase chains
prot_00662	FIG01582379	32	6	32	FIG187434: hypothetical protein in cluster with ATP synthase chains
prot_00663	FIG00834599	37	8	37	FIG057547: hypothetical cooccurring with ATP synthase chains
prot_00664	FIG00834599	33	7	33	FIG057547: hypothetical cooccurring with ATP synthase chains
prot_00669	FIG00040241	324	46	324	ATP synthase beta chain (EC 3.6.3.14)
prot_00670	FIG01195533	72	12	72	FIG01195534: hypothetical protein
prot_00671	FIG01195533	504	78	504	FIG01195534: hypothetical protein
prot_00672	FIG01195533	162	23	162	FIG01195534: hypothetical protein
prot_00673	FIG01195533	29	4	29	FIG01195534: hypothetical protein
prot_00674	FIG01196258	16	4	16	Probable protein-export membrane protein secG
prot_00675	FIG00000308	309	43	309	3'-to-5' exoribonuclease RNase R
prot_00676	FIG00000308	135	19	135	3'-to-5' exoribonuclease RNase R
prot_00677	FIG00000308	42	7	42	3'-to-5' exoribonuclease RNase R
prot_00678	FIG00000308	109	16	109	3'-to-5' exoribonuclease RNase R
prot_00679	FIG00000194	121	17	121	tmRNA-binding protein SmpB
prot_00685	FIG01195616	26	4	26	FIG01195617: hypothetical protein
prot_00686	FIG01195616	85	15	85	FIG01195617: hypothetical protein
prot_00687	FIG01195616	64	10	64	FIG01195617: hypothetical protein
prot_00688	FIG01195616	123	21	123	FIG01195617: hypothetical protein
prot_00690	FIG01195707	67	9	67	FIG01195708: hypothetical protein
prot_00691	FIG00000300	216	32	216	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)
prot_00692	FIG00000300	166	24	166	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)
prot_00694	FIG01361546	94	13	94	nucleoside 2-deoxyribosyltransferase superfamily
prot_00695	FIG00628107	31	5	31	Oligoendopeptidase F (EC 3.4.24.-)
prot_00697	FIG00628107	102	16	102	Oligoendopeptidase F (EC 3.4.24.-)
prot_00698	FIG00000522	42	7	42	Phosphate acetyltransferase (EC 2.3.1.8)
prot_00699	FIG00000522	133	18	133	Phosphate acetyltransferase (EC 2.3.1.8)
prot_00700	FIG00834270	101	18	102	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_00701	FIG01195721	43	8	43	FIG01195722: hypothetical protein
prot_00702	FIG00132967	186	32	186	Iron(III) dicitrate transport ATP-binding protein FecE (TC 3.A.1.14.1)
prot_00703	FIG01195871	53	9	53	FIG01195872: hypothetical protein
prot_00704	FIG01195871	78	15	78	FIG01195872: hypothetical protein
prot_00705	FIG01195751	147	21	147	putative ABC substrate-binding protein - iron
prot_00706	FIG01195751	33	5	33	putative ABC substrate-binding protein - iron
prot_00707	FIG01195751	100	15	100	putative ABC substrate-binding protein - iron
prot_00708	FIG01195751	51	8	51	putative ABC substrate-binding protein - iron
prot_00709	FIG00042627	37	6	37	Magnesium and cobalt efflux protein CorC
prot_00710	FIG00042627	36	6	36	Magnesium and cobalt efflux protein CorC
prot_00711	FIG00042627	36	6	36	Magnesium and cobalt efflux protein CorC
prot_00712	FIG01195672	99	16	99	Cytoplasmic hypothetical protein DUF199
prot_00713	FIG01195672	12	2	12	Cytoplasmic hypothetical protein DUF199
prot_00714	FIG00018396	225	36	225	Thioredoxin reductase (EC 1.8.1.9)
prot_00715	FIG00000985	120	17	120	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)
prot_00716	FIG00000985	24	4	24	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)
prot_00717	FIG00004170	166	25	166	HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)
prot_00718	FIG00004170	37	6	37	HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)
prot_00719		65	10	65	tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
prot_00720		148	21	148	tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
prot_00721	FIG00000151	151	22	151	Peptidyl-tRNA hydrolase (EC 3.1.1.29)
prot_00722	FIG00066425	314	46	314	DNA polymerase III beta subunit (EC 2.7.7.7)
prot_00723	FIG00002958	28	4	28	FIG002958: hypothetical protein
prot_00724	FIG00028203	20	4	20	DNA gyrase subunit B (EC 5.99.1.3)
prot_00725	FIG00028203	31	6	31	DNA gyrase subunit B (EC 5.99.1.3)
prot_00726	FIG00028203	110	19	110	DNA gyrase subunit B (EC 5.99.1.3)
prot_00727	FIG00028203	28	5	28	DNA gyrase subunit B (EC 5.99.1.3)
prot_00728	FIG00000080	54	9	54	DNA gyrase subunit A (EC 5.99.1.3)
prot_00729	FIG00000080	549	83	549	DNA gyrase subunit A (EC 5.99.1.3)
prot_00730	FIG00893616	106	16	106	C-terminal domain of CinA type S
prot_00731	FIG00000234	227	34	227	RecA protein
prot_00733	FIG01195902	366	55	366	FIG01195904: hypothetical protein
prot_00734	FIG00000938	26	4	26	Deoxyadenosine kinase (EC 2.7.1.76) / Deoxyguanosine kinase (EC 2.7.1.113)
prot_00735	FIG00000938	92	13	92	Deoxyadenosine kinase (EC 2.7.1.76) / Deoxyguanosine kinase (EC 2.7.1.113)
prot_00736	FIG00000414	104	16	104	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
prot_00737	FIG00000414	189	28	189	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
prot_00738	FIG01196381	26	7	28	FIG01196383: hypothetical protein
prot_00739	FIG00000557	71	11	71	FIG000557: hypothetical protein co-occurring with RecR
prot_00740	FIG00000190	93	14	93	Recombination protein RecR
prot_00741	FIG00000113	96	18	96	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)
prot_00742	FIG00000113	37	6	37	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)
prot_00743	FIG00000113	65	10	65	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)
prot_00744	FIG00000113	51	8	51	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)
prot_00745	FIG01195960	68	11	68	ABC transporter, permease component (Na+?)
prot_00746	FIG01195960	63	9	63	ABC transporter, permease component (Na+?)
prot_00747	FIG01195960	31	5	31	ABC transporter, permease component (Na+?)
prot_00748	FIG01195960	68	9	68	ABC transporter, permease component (Na+?)
prot_00749	FIG00006151	150	25	150	Methionine ABC transporter ATP-binding protein
prot_00750	FIG01195916	108	17	108	FIG01195918: hypothetical protein
prot_00751	FIG01195916	79	13	79	FIG01195918: hypothetical protein
prot_00752	FIG01195916	31	5	31	FIG01195918: hypothetical protein
prot_00753	FIG01195916	14	2	14	FIG01195918: hypothetical protein
prot_00754	FIG00046195	62	9	62	Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)
prot_00755	FIG00046195	91	12	91	Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)
prot_00756	FIG00046195	87	14	87	Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)
prot_00757	FIG00046195	221	33	221	Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)
prot_00758	FIG00005727	17	4	17	Type III restriction-modification system methylation subunit (EC 2.1.1.72)
prot_00759	FIG00005727	51	7	51	Type III restriction-modification system methylation subunit (EC 2.1.1.72)
prot_00760	FIG00005727	200	31	200	Type III restriction-modification system methylation subunit (EC 2.1.1.72)
prot_00761	FIG00945813	479	68	479	ATPase involved in DNA repair
prot_00763	FIG01196518	276	40	276	FIG01196526: hypothetical protein
prot_00764	FIG01195469	151	22	151	FIG01195470: hypothetical protein
prot_00765	FIG00000147	222	35	222	Excinuclease ABC subunit A
prot_00766	FIG00000147	338	57	338	Excinuclease ABC subunit A
prot_00767	FIG01195607	62	9	62	FIG01195609: hypothetical protein
prot_00768	FIG01195607	34	5	34	FIG01195609: hypothetical protein
prot_00769	FIG01195607	197	30	197	FIG01195609: hypothetical protein
prot_00771	FIG00000355	101	16	101	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)
prot_00772	FIG01120704	38	5	38	Cell division protein FtsH (EC 3.4.24.-)
prot_00773	FIG01120704	364	59	364	Cell division protein FtsH (EC 3.4.24.-)
prot_00774	FIG00000121	166	23	166	Seryl-tRNA synthetase (EC 6.1.1.11)
prot_00775	FIG00000121	81	13	81	Seryl-tRNA synthetase (EC 6.1.1.11)
prot_00776	FIG00007514	122	21	122	Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)
prot_00777	FIG00007514	26	6	26	Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)
prot_00779	FIG00004037	85	13	85	Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)
prot_00780	FIG00004037	142	21	142	Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)
prot_00781	FIG00003894	97	15	97	Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)
prot_00782	FIG00058663	65	11	65	Probable spermidine/putrescine substrate binding protein in Mollicutes
prot_00783	FIG00058663	366	53	366	Probable spermidine/putrescine substrate binding protein in Mollicutes
prot_00784	FIG01195534	70	10	70	FIG01195536: hypothetical protein
prot_00785	FIG01195920	320	46	320	Probable DNA polymerase III
prot_00786	FIG00696679	267	38	267	Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)
prot_00791	FIG00000048	94	13	94	Dihydrofolate reductase (EC 1.5.1.3)
prot_00792	FIG00003555	159	23	159	Phosphoglycolate phosphatase (EC 3.1.3.18)
prot_00793	FIG00000396	149	22	149	Uracil phosphoribosyltransferase (EC 2.4.2.9)
prot_00794	FIG00346039	309	49	309	Tyrosyl-tRNA synthetase (EC 6.1.1.1)
prot_00795	FIG00450796	194	31	194	ABC transporter ATP-binding protein
prot_00796	FIG00034293	157	23	157	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
prot_00797	FIG00034293	315	47	315	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
prot_00798	FIG00000146	277	40	277	Excinuclease ABC subunit B
prot_00799	FIG00000146	246	37	246	Excinuclease ABC subunit B
prot_00800	FIG00051439	237	33	237	DNA ligase (EC 6.5.1.2)
prot_00801	FIG00051439	261	37	261	DNA ligase (EC 6.5.1.2)
prot_00802	FIG01195872	108	15	108	FIG01195873: hypothetical protein
prot_00803	FIG00000086	140	21	140	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
prot_00804	FIG00000086	31	5	31	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
prot_00805	FIG00000086	130	19	130	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
prot_00806		32	5	32	23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)
prot_00807	FIG01306479	36	6	36	23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)
prot_00808	FIG01306479	25	4	25	23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)
